class, main_axis, max_defect, min_defect, area_ratio
3, 9.055, 21028, 21028, 75.09638554216868
3, 9.0, 23179, 114, 74.57142857142857
3, 8.246, 20643, 95, 69.09210526315789
3, 7.071, 22170, 162, 77.54098360655738
3, 112.201, 11921, 114, 0.38023809523809526
3, 6.708, 13397, 142, 85.7090909090909
3, 8.544, 13769, 621, 73.59740259740259
3, 7.28, 13908, 142, 75.484375
3, 10.0, 23391, 114, 70.35353535353535
3, 8.062, 22515, 114, 74.0253164556962
3, 6.325, 13118, 142, 81.08163265306122
3, 143.562, 13995, 162, 0.3831085794001395
3, 8.944, 25916, 114, 66.54639175257732
3, 7.071, 19295, 114, 83.82
3, 7.28, 13653, 186, 74.62903225806451
3, 8.246, 22975, 154, 71.35955056179775
3, 8.246, 23105, 162, 74.0
3, 6.325, 19302, 114, 83.68627450980392
3, 9.055, 20158, 20158, 79.43661971830986
3, 7.28, 12184, 114, 80.421875
3, 7.28, 13213, 285, 75.90322580645162
3, 119.549, 12672, 162, 0.38761960554579183
3, 7.071, 12056, 114, 73.0701754385965
3, 9.055, 23262, 114, 75.34117647058824
3, 7.28, 12485, 229, 77.625
3, 9.055, 15744, 114, 64.48039215686275
3, 9.055, 15005, 162, 66.58064516129032
3, 124.278, 13703, 181, 0.3849364069952305
4, 108.674, 7248, 114, 0.41806613121935954
4, 117.038, 7226, 114, 0.41424474187380494
4, 125.734, 8284, 343, 0.41963524799727286
4, 112.699, 7205, 114, 0.41955545318438325
4, 128.004, 8072, 114, 0.41554188962542926
4, 127.252, 7016, 114, 0.414381534819491
4, 122.376, 7099, 114, 0.4158478605388273
4, 121.696, 7175, 114, 0.41930132708821233
4, 115.451, 7202, 162, 0.4149451939291737
4, 135.912, 8657, 114, 0.41686567164179106
4, 112.45, 8028, 114, 0.421490977382216
4, 106.532, 6810, 229, 0.41302791696492486
4, 114.56, 6897, 114, 0.41516828031350855
4, 129.808, 7739, 114, 0.4162480512731682
4, 133.462, 8574, 114, 0.41932936023551376
4, 122.577, 7725, 307, 0.4181256436663234
4, 122.577, 8701, 114, 0.4176506206478959
4, 111.328, 6934, 229, 0.41612938476669215
4, 123.649, 7607, 114, 0.4160717395089674
4, 116.103, 8065, 114, 0.41616541353383457
4, 140.858, 8711, 114, 0.41843783209351754
4, 104.019, 7308, 114, 0.4231780616078137
